what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564723981937
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564723982224
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564723984252
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564723996017
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564724004504
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564724005165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564724005459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564724007498
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564724013308
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564724136436
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564724170242
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564724172877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564724176844
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564724177671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564724177965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564724179923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564724234140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564724524104
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564724769130
executed,command,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.edit.opendecl",1564724772695
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564724812432
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564724814200
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564724910692
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564724915951
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564724958934
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564724959050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564724967584
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564724971668
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564724983299
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564724992595
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1564724994818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564724996096
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1564724998429
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1564724998563
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1564725013400
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564725015427
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564725181090
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564725181351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725181661
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725182603
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725183249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725184522
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1564725185452
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1564725185548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1564725213842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564725215704
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564725221906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564725224165
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.shiftLeft",1564725257004
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564725261564
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564725261818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725262109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725263045
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564725265882
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564725266131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725266423
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725268387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725268792
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725332516
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564725658387
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564725663850
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564725674469
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564725675165
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1564725675824
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1564725724297
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1564725725627
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564725733875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1564725738369
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564725755757
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564725760742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725761014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725762975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725784934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725808867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1564725836766
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildAll",1564725837794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725838088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725839989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725840127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1564725865452
